agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
5,38,34,11.5,6.5,5.0,5.0,5.5,0.0,5.5
7,38,35,19.5,13.5,6.0,6.0,6.5,0.0,6.5
6,37,98,20.5,11.5,9.0,9.0,7.5,0.0,7.5
8,37,98,26.5,17.5,9.0,9.0,4.5,0.0,4.5
9,38,34,28.5,23.5,5.0,5.0,7.5,0.0,7.5
10,36,2,36.5,22.5,14.0,14.0,3.5,0.0,3.5
11,35,2,39.0,26.0,13.0,13.0,4.0,0.0,4.0
12,38,36,41.5,34.5,7.0,7.0,9.5,0.0,9.5
13,98,2,48.5,33.5,15.0,15.0,5.5,0.0,5.5
14,37,34,52.5,46.5,6.0,6.0,15.5,0.0,15.5
16,97,2,57.5,46.5,11.0,11.0,6.5,0.0,6.5
15,98,2,63.0,48.0,15.0,15.0,11.0,0.0,11.0
18,37,97,63.5,58.5,5.0,5.0,9.5,0.0,9.5
17,38,36,64.5,57.5,7.0,7.0,14.5,0.0,14.5
21,34,2,78.5,66.5,12.0,12.0,5.5,0.0,5.5
20,38,98,80.0,72.0,8.0,8.0,14.0,0.0,14.0
22,97,2,81.0,70.0,11.0,11.0,6.0,0.0,6.0
19,35,2,83.5,68.5,15.0,13.0,16.5,2.0,18.5
24,34,1,96.0,85.0,11.0,11.0,15.0,0.0,15.0
25,38,98,98.0,90.0,8.0,8.0,17.0,0.0,17.0
23,36,2,102.5,88.5,14.0,14.0,21.5,0.0,21.5
26,37,36,103.5,95.5,8.0,8.0,19.5,0.0,19.5
28,35,2,115.0,102.0,13.0,13.0,8.0,0.0,8.0
27,34,1,120.0,109.0,11.0,11.0,18.0,0.0,18.0
30,98,1,122.5,106.5,16.0,14.0,6.5,2.0,8.5
