agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
5,38,98,14.5,6.5,8.0,8.0,5.5,0.0,5.5
6,37,34,18.0,12.0,6.0,6.0,8.0,0.0,8.0
7,38,34,20.5,13.5,7.0,5.0,6.5,2.0,8.5
8,36,2,28.5,14.5,14.0,14.0,4.5,0.0,4.5
9,97,1,30.5,20.5,10.0,10.0,7.5,0.0,7.5
10,38,97,31.0,25.0,6.0,6.0,9.0,0.0,9.0
11,36,1,37.5,24.5,13.0,13.0,5.5,0.0,5.5
12,37,97,43.5,38.5,5.0,5.0,16.5,0.0,16.5
14,38,98,45.0,37.0,8.0,8.0,9.0,0.0,9.0
13,36,1,54.5,41.5,13.0,13.0,16.5,0.0,16.5
16,37,34,54.5,48.5,6.0,6.0,8.5,0.0,8.5
17,38,98,61.0,53.0,8.0,8.0,10.0,0.0,10.0
15,35,1,63.5,49.5,14.0,12.0,12.5,2.0,14.5
18,36,1,71.5,58.5,13.0,13.0,9.5,0.0,9.5
20,34,1,77.0,66.0,11.0,11.0,11.0,0.0,11.0
19,35,1,80.0,66.5,13.5,12.0,14.5,1.5,16.0
21,37,34,80.5,74.5,6.0,6.0,16.5,0.0,16.5
23,38,36,94.0,87.0,7.0,7.0,23.0,0.0,23.0
25,97,2,94.5,83.5,11.0,11.0,10.5,0.0,10.5
22,98,1,97.5,81.5,16.0,14.0,20.5,2.0,22.5
24,35,1,104.0,92.0,12.0,12.0,22.0,0.0,22.0
26,37,36,110.0,102.0,8.0,8.0,26.0,0.0,26.0
27,98,2,118.5,103.5,15.0,15.0,21.5,0.0,21.5
28,97,1,121.5,111.5,10.0,10.0,26.5,0.0,26.5
29,38,98,122.0,114.0,8.0,8.0,26.0,0.0,26.0
