agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
5,38,97,15.5,9.5,6.0,6.0,5.5,0.0,5.5
4,35,2,19.5,6.5,13.0,13.0,5.5,0.0,5.5
6,37,35,21.5,14.5,7.0,7.0,7.5,0.0,7.5
7,38,35,27.5,21.5,6.0,6.0,11.5,0.0,11.5
9,37,98,37.5,28.5,9.0,9.0,12.5,0.0,12.5
10,38,34,38.5,33.5,5.0,5.0,11.5,0.0,11.5
8,98,2,43.5,28.5,15.0,15.0,15.5,0.0,15.5
12,97,1,51.5,41.5,10.0,10.0,10.5,0.0,10.5
11,35,2,55.0,41.5,13.5,13.0,13.5,0.5,14.0
13,38,35,58.5,52.5,6.0,6.0,18.5,0.0,18.5
14,37,36,70.5,62.5,8.0,8.0,25.5,0.0,25.5
16,98,2,77.5,62.5,15.0,15.0,7.5,0.0,7.5
15,34,2,80.5,67.0,13.5,12.0,15.0,1.5,16.5
17,97,2,86.5,75.5,11.0,11.0,17.5,0.0,17.5
18,38,97,92.5,86.5,6.0,6.0,25.5,0.0,25.5
19,98,2,104.5,89.5,15.0,15.0,25.5,0.0,25.5
21,34,1,106.5,95.5,11.0,11.0,25.5,0.0,25.5
20,35,1,109.5,97.5,12.0,12.0,30.5,0.0,30.5
23,37,34,123.5,117.5,6.0,6.0,41.5,0.0,41.5
22,36,2,128.5,114.5,14.0,14.0,41.5,0.0,41.5
9,35,1,49.5,37.5,12.0,12.0,21.5,0.0,21.5
11,98,1,55.5,41.5,14.0,14.0,19.5,0.0,19.5
10,34,2,57.5,45.5,12.0,12.0,26.5,0.0,26.5
14,38,35,72.5,66.5,6.0,6.0,32.5,0.0,32.5
12,97,1,74.0,63.5,10.5,10.0,38.5,0.5,39.0
