agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,35,16.5,10.5,6.0,6.0,5.5,0.0,5.5
5,98,1,21.5,4.5,17.0,14.0,3.5,3.0,6.5
7,37,97,21.5,16.5,5.0,5.0,7.5,0.0,7.5
8,38,34,24.5,19.5,5.0,5.0,6.5,0.0,6.5
9,37,98,32.5,23.5,9.0,9.0,6.5,0.0,6.5
11,34,2,37.5,25.5,12.0,12.0,0.5,0.0,0.5
10,36,1,40.0,27.0,13.0,13.0,6.0,0.0,6.0
12,37,35,43.5,36.5,7.0,7.0,7.5,0.0,7.5
13,98,2,49.0,33.5,15.5,15.0,0.5,0.5,1.0
16,37,98,59.5,50.5,9.0,9.0,5.5,0.0,5.5
14,97,2,61.5,50.5,11.0,11.0,13.5,0.0,13.5
17,38,35,64.0,58.0,6.0,6.0,9.0,0.0,9.0
15,34,2,65.0,53.0,12.0,12.0,12.0,0.0,12.0
18,36,2,76.5,62.5,14.0,14.0,9.5,0.0,9.5
20,34,1,78.0,67.0,11.0,11.0,6.0,0.0,6.0
19,37,98,80.5,71.5,9.0,9.0,14.5,0.0,14.5
21,97,1,88.0,78.0,10.0,10.0,13.0,0.0,13.0
22,38,98,93.5,85.5,8.0,8.0,16.5,0.0,16.5
23,37,34,97.0,91.0,6.0,6.0,18.0,0.0,18.0
25,38,34,103.0,98.0,5.0,5.0,9.0,0.0,9.0
24,35,1,104.0,92.0,12.0,12.0,7.0,0.0,7.0
26,37,34,108.5,102.5,6.0,6.0,9.5,0.0,9.5
27,97,2,117.0,106.0,11.0,11.0,5.0,0.0,5.0
28,38,98,118.5,110.5,8.0,8.0,5.5,0.0,5.5
29,37,98,123.5,114.5,9.0,9.0,5.5,0.0,5.5
