agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
7,38,34,18.0,13.0,5.0,5.0,6.0,0.0,6.0
5,36,2,19.5,5.5,14.0,14.0,4.5,0.0,4.5
6,34,1,22.5,11.5,11.0,11.0,7.5,0.0,7.5
8,37,98,27.0,18.0,9.0,9.0,8.0,0.0,8.0
9,38,97,29.0,23.0,6.0,6.0,7.0,0.0,7.0
10,37,98,38.5,29.5,9.0,9.0,10.5,0.0,10.5
12,38,35,41.0,35.0,6.0,6.0,10.0,0.0,10.0
13,34,2,46.0,34.0,12.0,12.0,3.0,0.0,3.0
11,36,2,49.0,33.5,15.5,14.0,11.5,1.5,13.0
15,38,34,52.0,47.0,5.0,5.0,10.0,0.0,10.0
14,37,35,54.5,47.5,7.0,7.0,13.5,0.0,13.5
19,38,34,65.5,60.5,5.0,5.0,5.5,0.0,5.5
17,37,35,66.0,59.0,7.0,7.0,10.0,0.0,10.0
18,97,2,66.0,55.0,11.0,11.0,3.0,0.0,3.0
16,98,1,71.0,55.0,16.0,14.0,12.0,2.0,14.0
20,97,1,78.5,68.5,10.0,10.0,7.5,0.0,7.5
21,98,2,85.0,70.0,15.0,15.0,6.0,0.0,6.0
23,37,97,87.0,82.0,5.0,5.0,12.0,0.0,12.0
22,34,2,90.5,78.0,12.5,12.0,11.0,0.5,11.5
26,38,98,101.0,93.0,8.0,8.0,14.0,0.0,14.0
24,98,1,104.0,88.5,15.5,14.0,15.5,1.5,17.0
25,35,2,109.0,96.0,13.0,13.0,20.0,0.0,20.0
27,36,2,114.5,100.5,14.0,14.0,18.5,0.0,18.5
28,34,1,117.0,106.0,11.0,11.0,21.0,0.0,21.0
30,37,36,127.0,119.0,8.0,8.0,25.0,0.0,25.0
