agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,35,17.5,10.5,7.0,7.0,6.5,0.0,6.5
7,38,36,21.0,14.0,7.0,7.0,7.0,0.0,7.0
5,98,2,21.5,4.5,17.0,15.0,3.5,2.0,5.5
9,37,97,29.5,24.5,5.0,5.0,8.5,0.0,8.5
8,34,1,32.0,20.5,11.5,11.0,7.5,0.5,8.0
10,38,98,36.0,28.0,8.0,8.0,9.0,0.0,9.0
11,37,35,40.5,33.5,7.0,7.0,8.5,0.0,8.5
12,36,2,48.5,34.5,14.0,14.0,6.5,0.0,6.5
14,38,35,50.0,44.0,6.0,6.0,10.0,0.0,10.0
15,37,97,54.5,49.5,5.0,5.0,12.5,0.0,12.5
13,34,1,56.0,45.0,11.0,11.0,14.0,0.0,14.0
17,98,2,69.0,54.0,15.0,15.0,8.0,0.0,8.0
18,34,2,71.5,57.5,14.0,12.0,8.5,2.0,10.5
16,36,2,74.5,58.5,16.0,14.0,18.5,2.0,20.5
19,35,2,81.0,68.0,13.0,13.0,16.0,0.0,16.0
22,38,98,91.5,83.5,8.0,8.0,22.5,0.0,22.5
20,97,1,92.0,82.0,10.0,10.0,27.0,0.0,27.0
21,34,2,95.5,83.5,12.0,12.0,25.5,0.0,25.5
23,36,2,105.0,91.0,14.0,14.0,27.0,0.0,27.0
24,37,98,109.5,100.5,9.0,9.0,30.5,0.0,30.5
