agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
4,97,1,18.5,8.5,10.0,10.0,7.5,0.0,7.5
5,36,1,23.0,10.0,13.0,13.0,5.5,0.0,5.5
6,35,2,28.5,15.5,13.0,13.0,7.5,0.0,7.5
7,36,2,43.5,29.5,14.0,14.0,18.0,0.0,18.0
8,97,2,48.0,37.0,11.0,11.0,22.0,0.0,22.0
9,34,1,51.5,40.5,11.0,11.0,22.0,0.0,22.0
11,38,34,62.0,57.0,5.0,5.0,31.5,0.0,31.5
10,35,2,67.5,54.5,13.0,13.0,32.5,0.0,32.5
12,98,2,76.5,61.5,15.0,15.0,32.5,0.0,32.5
13,36,2,80.0,66.0,14.0,14.0,33.5,0.0,33.5
14,37,34,83.5,77.5,6.0,6.0,38.0,0.0,38.0
15,97,2,100.5,89.5,11.0,11.0,46.5,0.0,46.5
9,37,98,47.5,38.5,9.0,9.0,20.0,0.0,20.0
10,35,1,57.0,45.0,12.0,12.0,12.5,0.0,12.5
11,38,35,60.0,54.0,6.0,6.0,18.0,0.0,18.0
12,97,2,64.5,53.5,11.0,11.0,14.0,0.0,14.0
14,34,1,74.0,63.0,11.0,11.0,16.5,0.0,16.5
13,36,1,81.0,68.0,13.0,13.0,25.0,0.0,25.0
15,98,1,87.5,73.5,14.0,14.0,23.5,0.0,23.5
16,38,36,91.0,84.0,7.0,7.0,27.0,0.0,27.0
17,37,36,100.0,92.0,8.0,8.0,31.5,0.0,31.5
10,36,1,60.0,43.5,16.5,13.0,21.5,3.5,25.0
13,97,2,72.5,61.5,11.0,11.0,22.0,0.0,22.0
14,37,35,75.0,68.0,7.0,7.0,25.0,0.0,25.0
15,36,2,85.0,71.0,14.0,14.0,21.0,0.0,21.0
16,38,98,89.5,81.5,8.0,8.0,28.0,0.0,28.0
