agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
4,38,35,12.5,6.5,6.0,6.0,5.5,0.0,5.5
5,37,97,17.0,12.0,5.0,5.0,7.5,0.0,7.5
6,38,36,22.5,15.5,7.0,7.0,7.5,0.0,7.5
7,37,35,27.5,20.5,7.0,7.0,5.5,0.0,5.5
8,34,2,33.0,21.0,12.0,12.0,2.5,0.0,2.5
9,37,35,37.5,30.5,7.0,7.0,8.5,0.0,8.5
10,38,34,39.0,34.0,5.0,5.0,8.5,0.0,8.5
11,37,34,49.5,43.0,6.5,6.0,10.5,0.5,11.0
13,38,98,52.0,44.0,8.0,8.0,4.5,0.0,4.5
12,36,2,56.0,40.5,15.5,14.0,4.5,1.5,6.0
14,97,2,63.5,52.5,11.0,11.0,9.5,0.0,9.5
15,35,2,69.0,56.0,13.0,13.0,9.5,0.0,9.5
16,34,2,80.0,68.0,12.0,12.0,18.0,0.0,18.0
18,38,98,86.0,78.0,8.0,8.0,21.0,0.0,21.0
17,36,1,88.5,73.5,15.0,13.0,20.0,2.0,22.0
19,37,36,98.0,90.0,8.0,8.0,29.5,0.0,29.5
20,35,2,103.0,90.0,13.0,13.0,26.0,0.0,26.0
21,97,1,112.5,102.5,10.0,10.0,35.0,0.0,35.0
22,34,1,115.0,102.0,13.0,11.0,31.0,2.0,33.0
23,38,35,118.0,112.0,6.0,6.0,30.5,0.0,30.5
15,37,36,84.5,76.5,8.0,8.0,33.5,0.0,33.5
16,38,36,89.5,82.5,7.0,7.0,36.0,0.0,36.0
18,35,2,100.5,87.5,13.0,13.0,27.0,0.0,27.0
17,97,2,104.0,93.0,11.0,11.0,36.0,0.0,36.0
19,98,2,107.5,92.5,15.0,15.0,21.5,0.0,21.5
20,34,2,124.5,112.5,12.0,12.0,34.5,0.0,34.5
