agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,97,1,18.5,8.5,10.0,10.0,7.5,0.0,7.5
7,38,98,18.5,10.5,8.0,8.0,5.5,0.0,5.5
8,35,2,28.5,15.5,13.0,13.0,6.5,0.0,6.5
11,38,97,32.5,26.5,6.0,6.0,5.5,0.0,5.5
9,34,1,34.5,22.5,12.0,11.0,9.5,1.0,10.5
10,37,98,35.5,25.5,10.0,9.0,8.5,1.0,9.5
13,37,97,42.5,37.5,5.0,5.0,4.5,0.0,4.5
12,35,2,47.5,34.5,13.0,13.0,5.5,0.0,5.5
14,38,35,49.5,43.5,6.0,6.0,6.5,0.0,6.5
17,38,34,55.5,50.5,5.0,5.0,1.5,0.0,1.5
15,37,36,57.0,49.0,8.0,8.0,8.0,0.0,8.0
18,38,36,62.5,55.5,7.0,7.0,2.5,0.0,2.5
16,98,1,66.0,51.5,14.5,14.0,6.5,0.5,7.0
19,38,35,66.5,60.5,6.0,6.0,3.5,0.0,3.5
21,38,97,75.5,69.5,6.0,6.0,4.5,0.0,4.5
20,97,1,78.0,68.0,10.0,10.0,7.0,0.0,7.0
22,37,35,80.5,73.5,7.0,7.0,4.5,0.0,4.5
24,38,97,87.5,81.5,6.0,6.0,4.5,0.0,4.5
23,34,2,91.5,79.5,12.0,12.0,6.5,0.0,6.5
25,34,2,95.5,83.5,12.0,12.0,2.5,0.0,2.5
26,36,1,104.0,91.0,13.0,13.0,6.0,0.0,6.0
