agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,34,13.5,7.5,6.0,6.0,6.5,0.0,6.5
7,36,2,23.5,9.5,14.0,14.0,4.5,0.0,4.5
10,38,35,25.5,19.5,6.0,6.0,2.5,0.0,2.5
8,97,1,27.5,17.5,10.0,10.0,8.5,0.0,8.5
9,37,98,30.0,21.0,9.0,9.0,8.0,0.0,8.0
13,38,35,38.5,32.5,6.0,6.0,3.5,0.0,3.5
12,37,34,40.0,34.0,6.0,6.0,9.0,0.0,9.0
11,36,1,43.5,29.5,14.0,13.0,8.5,1.0,9.5
14,38,97,44.0,38.0,6.0,6.0,5.0,0.0,5.0
16,38,34,49.5,44.5,5.0,5.0,3.5,0.0,3.5
15,37,98,53.5,44.5,9.0,9.0,7.5,0.0,7.5
18,37,97,56.0,51.0,5.0,5.0,2.0,0.0,2.0
17,36,1,61.0,48.0,13.0,13.0,3.0,0.0,3.0
19,37,98,65.5,56.5,9.0,9.0,3.5,0.0,3.5
20,36,2,75.0,61.0,14.0,14.0,4.0,0.0,4.0
23,38,34,78.5,73.5,5.0,5.0,4.5,0.0,4.5
22,37,98,81.0,72.0,9.0,9.0,7.0,0.0,7.0
21,34,2,82.0,69.0,13.0,12.0,8.0,1.0,9.0
25,38,34,89.0,84.0,5.0,5.0,7.0,0.0,7.0
24,37,36,91.5,83.0,8.5,8.0,10.0,0.5,10.5
27,37,34,102.0,96.0,6.0,6.0,7.0,0.0,7.0
28,38,35,102.0,96.0,6.0,6.0,3.0,0.0,3.0
