agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,97,2,19.5,8.5,11.0,11.0,7.5,0.0,7.5
7,35,1,23.5,11.5,12.0,12.0,6.5,0.0,6.5
8,98,1,28.5,14.5,14.0,14.0,5.5,0.0,5.5
11,38,34,33.5,28.5,5.0,5.0,7.5,0.0,7.5
9,36,2,34.5,20.5,14.0,14.0,7.5,0.0,7.5
10,97,1,38.5,28.5,10.0,10.0,11.5,0.0,11.5
12,37,97,39.5,34.5,5.0,5.0,9.5,0.0,9.5
13,38,35,44.5,38.5,6.0,6.0,9.5,0.0,9.5
14,36,2,53.5,39.5,14.0,14.0,2.5,0.0,2.5
16,97,2,59.5,48.5,11.0,11.0,3.5,0.0,3.5
15,98,2,62.0,47.0,15.0,15.0,6.0,0.0,6.0
17,35,2,70.5,57.5,13.0,13.0,8.5,0.0,8.5
19,37,36,71.5,63.5,8.0,8.0,6.5,0.0,6.5
18,34,1,74.5,63.5,11.0,11.0,10.5,0.0,10.5
20,38,35,77.0,71.0,6.0,6.0,10.0,0.0,10.0
21,97,1,85.0,75.0,10.0,10.0,10.0,0.0,10.0
23,36,1,87.5,74.5,13.0,13.0,1.5,0.0,1.5
22,34,1,94.5,82.5,12.0,11.0,13.5,1.0,14.5
24,37,98,94.5,85.5,9.0,9.0,8.5,0.0,8.5
25,97,1,97.5,86.0,11.5,10.0,5.0,1.5,6.5
26,38,34,100.0,95.0,5.0,5.0,10.0,0.0,10.0
