agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,34,1,18.5,7.5,11.0,11.0,6.5,0.0,6.5
8,37,34,21.5,15.5,6.0,6.0,6.5,0.0,6.5
7,98,2,26.5,9.5,17.0,15.0,4.5,2.0,6.5
9,36,1,33.5,20.5,13.0,13.0,7.5,0.0,7.5
11,37,97,34.5,29.5,5.0,5.0,8.5,0.0,8.5
10,97,2,39.5,28.5,11.0,11.0,11.5,0.0,11.5
12,35,1,40.5,28.5,12.0,12.0,3.5,0.0,3.5
15,37,35,47.5,40.5,7.0,7.0,3.5,0.0,3.5
13,34,1,49.5,38.5,11.0,11.0,9.5,0.0,9.5
14,98,1,57.5,43.5,14.0,14.0,10.5,0.0,10.5
18,37,34,60.5,54.5,6.0,6.0,5.5,0.0,5.5
16,34,2,64.5,51.5,13.0,12.0,10.5,1.0,11.5
17,97,1,65.5,55.5,10.0,10.0,10.5,0.0,10.5
19,38,35,65.5,59.5,6.0,6.0,6.5,0.0,6.5
21,34,1,72.5,61.5,11.0,11.0,0.5,0.0,0.5
20,37,97,73.5,68.5,5.0,5.0,11.5,0.0,11.5
22,38,36,80.5,73.5,7.0,7.0,8.5,0.0,8.5
23,37,36,83.5,73.5,10.0,8.0,4.5,2.0,6.5
24,38,36,86.5,79.5,7.0,7.0,2.5,0.0,2.5
25,34,1,95.5,84.5,11.0,11.0,3.5,0.0,3.5
26,34,1,100.0,89.0,11.0,11.0,4.0,0.0,4.0
