agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,35,2,19.5,6.5,13.0,13.0,5.5,0.0,5.5
7,97,1,23.5,13.5,10.0,10.0,8.5,0.0,8.5
9,37,98,29.5,20.5,9.0,9.0,7.5,0.0,7.5
8,35,1,30.5,16.5,14.0,12.0,7.5,2.0,9.5
11,37,97,34.5,29.5,5.0,5.0,8.5,0.0,8.5
10,34,1,38.5,27.5,11.0,11.0,10.5,0.0,10.5
13,36,2,46.5,32.5,14.0,14.0,3.5,0.0,3.5
12,35,1,47.5,35.5,12.0,12.0,10.5,0.0,10.5
15,38,36,47.5,40.5,7.0,7.0,3.5,0.0,3.5
14,98,1,54.5,40.5,14.0,14.0,7.5,0.0,7.5
18,36,2,64.5,50.5,14.0,14.0,1.5,0.0,1.5
19,38,97,65.5,59.5,6.0,6.0,6.5,0.0,6.5
16,35,2,67.0,52.0,15.0,13.0,11.0,2.0,13.0
17,34,1,69.5,58.5,11.0,11.0,13.5,0.0,13.5
20,35,2,79.5,66.5,13.0,13.0,9.5,0.0,9.5
21,38,97,79.5,73.5,6.0,6.0,12.5,0.0,12.5
23,37,98,86.0,77.0,9.0,9.0,8.0,0.0,8.0
22,98,1,87.0,71.5,15.5,14.0,6.5,1.5,8.0
24,38,35,89.5,83.5,6.0,6.0,6.5,0.0,6.5
25,37,97,89.5,84.5,5.0,5.0,3.5,0.0,3.5
27,37,36,103.0,95.0,8.0,8.0,6.0,0.0,6.0
