agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,97,12.5,7.5,5.0,5.0,6.5,0.0,6.5
7,38,34,16.5,11.5,5.0,5.0,6.5,0.0,6.5
9,37,36,25.5,17.5,8.0,8.0,4.5,0.0,4.5
10,38,34,26.5,21.5,5.0,5.0,4.5,0.0,4.5
8,98,2,28.0,12.5,15.5,15.0,3.5,0.5,4.0
12,38,35,38.5,32.5,6.0,6.0,7.5,0.0,7.5
11,35,2,40.5,27.5,13.0,13.0,6.5,0.0,6.5
13,36,1,45.5,32.5,13.0,13.0,3.5,0.0,3.5
15,37,35,51.0,44.0,7.0,7.0,7.0,0.0,7.0
14,98,1,54.0,37.0,17.0,14.0,4.0,3.0,7.0
16,98,1,59.5,45.5,14.0,14.0,4.5,0.0,4.5
19,38,97,63.0,57.0,6.0,6.0,4.0,0.0,4.0
17,36,2,66.5,52.5,14.0,14.0,7.5,0.0,7.5
18,98,1,69.5,55.5,14.0,14.0,6.5,0.0,6.5
22,97,1,77.0,67.0,10.0,10.0,2.0,0.0,2.0
20,35,1,80.0,66.0,14.0,12.0,9.0,2.0,11.0
23,38,34,80.5,75.5,5.0,5.0,6.5,0.0,6.5
21,98,2,85.0,69.5,15.5,15.0,8.5,0.5,9.0
26,37,97,91.5,86.5,5.0,5.0,5.5,0.0,5.5
24,35,2,95.0,81.5,13.5,13.0,8.5,0.5,9.0
27,38,34,95.0,90.0,5.0,5.0,5.0,0.0,5.0
