agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,98,14.5,6.5,8.0,8.0,5.5,0.0,5.5
7,36,2,22.5,8.5,14.0,14.0,4.5,0.0,4.5
8,38,36,23.0,16.0,7.0,7.0,9.0,0.0,9.0
9,97,1,29.0,19.0,10.0,10.0,9.0,0.0,9.0
11,37,35,30.5,23.5,7.0,7.0,7.5,0.0,7.5
10,34,1,34.5,23.5,11.0,11.0,10.5,0.0,10.5
13,97,2,39.0,28.0,11.0,11.0,6.0,0.0,6.0
15,34,1,44.5,33.5,11.0,11.0,5.5,0.0,5.5
14,37,35,47.0,40.0,7.0,7.0,15.0,0.0,15.0
12,98,1,47.5,31.5,16.0,14.0,12.5,2.0,14.5
16,38,35,52.0,46.0,6.0,6.0,15.0,0.0,15.0
19,34,1,61.0,50.0,11.0,11.0,4.0,0.0,4.0
17,97,1,63.5,53.0,10.5,10.0,16.0,0.5,16.5
21,34,2,67.0,55.0,12.0,12.0,3.0,0.0,3.0
18,36,1,68.5,55.5,13.0,13.0,12.5,0.0,12.5
20,98,2,72.5,57.5,15.0,15.0,8.5,0.0,8.5
23,38,97,83.0,73.5,9.5,6.0,15.5,3.5,19.0
22,97,1,86.5,75.0,11.5,10.0,20.0,1.5,21.5
26,37,35,89.5,82.5,7.0,7.0,15.5,0.0,15.5
24,35,1,92.0,78.0,14.0,12.0,17.0,2.0,19.0
25,36,1,94.5,79.5,15.0,13.0,15.5,2.0,17.5
29,38,36,102.5,95.5,7.0,7.0,16.5,0.0,16.5
27,98,2,104.0,89.0,15.0,15.0,16.0,0.0,16.0
30,37,97,108.0,103.0,5.0,5.0,18.0,0.0,18.0
28,34,1,110.5,99.5,11.0,11.0,23.5,0.0,23.5
