agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,98,16.5,7.5,9.0,9.0,6.5,0.0,6.5
7,36,1,22.5,9.5,13.0,13.0,4.5,0.0,4.5
8,35,1,27.5,15.5,12.0,12.0,6.5,0.0,6.5
10,97,1,32.5,22.5,10.0,10.0,5.5,0.0,5.5
9,36,1,35.5,20.5,15.0,13.0,7.5,2.0,9.5
11,38,36,35.5,28.5,7.0,7.0,7.5,0.0,7.5
13,37,98,47.5,38.5,9.0,9.0,9.5,0.0,9.5
14,38,36,49.5,42.5,7.0,7.0,9.5,0.0,9.5
12,35,2,50.0,34.5,15.5,13.0,9.5,2.5,12.0
15,97,1,51.5,41.5,10.0,10.0,4.5,0.0,4.5
16,34,1,61.5,50.5,11.0,11.0,9.5,0.0,9.5
17,38,36,62.5,55.5,7.0,7.0,10.5,0.0,10.5
18,97,1,64.5,54.5,10.0,10.0,5.5,0.0,5.5
20,38,35,71.0,65.0,6.0,6.0,8.0,0.0,8.0
19,34,2,74.5,62.0,12.5,12.0,9.0,0.5,9.5
21,37,35,79.5,72.5,7.0,7.0,11.5,0.0,11.5
22,36,2,85.0,67.5,17.5,14.0,2.5,3.5,6.0
23,34,2,90.5,78.5,12.0,12.0,9.5,0.0,9.5
24,98,2,93.5,77.0,16.5,15.0,4.0,1.5,5.5
26,36,2,97.5,83.5,14.0,14.0,2.5,0.0,2.5
25,97,2,100.5,87.5,13.0,11.0,10.5,2.0,12.5
