agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
7,38,98,18.5,10.5,8.0,8.0,5.5,0.0,5.5
6,34,1,19.0,7.5,11.5,11.0,6.5,0.5,7.0
8,34,1,27.5,16.5,11.0,11.0,7.5,0.0,7.5
9,97,1,33.5,23.5,10.0,10.0,10.5,0.0,10.5
12,38,35,35.0,29.0,6.0,6.0,4.0,0.0,4.0
11,37,98,36.5,27.5,9.0,9.0,6.5,0.0,6.5
10,34,1,38.5,27.5,11.0,11.0,10.5,0.0,10.5
13,34,1,51.5,40.5,11.0,11.0,11.5,0.0,11.5
15,98,2,53.0,37.5,15.5,15.0,0.5,0.5,1.0
14,97,2,58.5,47.5,11.0,11.0,14.5,0.0,14.5
16,34,1,58.5,47.5,11.0,11.0,6.5,0.0,6.5
19,38,34,67.0,62.0,5.0,5.0,9.0,0.0,9.0
17,36,2,67.5,53.5,14.0,14.0,8.5,0.0,8.5
18,37,34,71.5,62.5,9.0,6.0,13.5,3.0,16.5
20,37,35,77.5,70.5,7.0,7.0,5.5,0.0,5.5
21,38,36,79.0,72.0,7.0,7.0,3.0,0.0,3.0
22,37,36,85.5,77.5,8.0,8.0,4.5,0.0,4.5
23,38,97,89.5,83.5,6.0,6.0,6.5,0.0,6.5
24,98,2,98.5,83.5,15.0,15.0,2.5,0.0,2.5
26,38,34,98.5,93.5,5.0,5.0,4.5,0.0,4.5
27,37,34,103.0,94.5,8.5,6.0,1.5,2.5,4.0
