agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,36,13.5,6.5,7.0,7.0,5.5,0.0,5.5
7,34,2,23.5,11.5,12.0,12.0,6.5,0.0,6.5
10,38,35,26.5,20.5,6.0,6.0,3.5,0.0,3.5
8,97,2,28.5,17.5,11.0,11.0,8.5,0.0,8.5
9,34,1,33.5,22.5,11.0,11.0,9.5,0.0,9.5
13,38,34,37.5,32.5,5.0,5.0,3.5,0.0,3.5
11,36,1,42.5,29.5,13.0,13.0,8.5,0.0,8.5
12,97,1,46.5,36.5,10.0,10.0,11.5,0.0,11.5
14,36,2,54.5,40.5,14.0,14.0,7.5,0.0,7.5
15,35,2,58.5,45.5,13.0,13.0,8.5,0.0,8.5
16,98,1,62.0,48.0,14.0,14.0,7.0,0.0,7.0
17,97,1,66.5,56.5,10.0,10.0,11.5,0.0,11.5
18,35,1,70.5,58.5,12.0,12.0,9.5,0.0,9.5
19,36,1,77.5,64.5,13.0,13.0,11.5,0.0,11.5
21,37,97,78.0,73.0,5.0,5.0,12.0,0.0,12.0
20,97,1,81.5,71.5,10.0,10.0,14.5,0.0,14.5
23,38,35,86.5,80.5,6.0,6.0,11.5,0.0,11.5
25,38,97,90.0,84.0,6.0,6.0,3.0,0.0,3.0
22,36,1,91.0,77.5,13.5,13.0,12.5,0.5,13.0
26,38,97,97.5,91.5,6.0,6.0,6.5,0.0,6.5
28,38,34,101.0,96.0,5.0,5.0,3.0,0.0,3.0
