agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,35,12.5,6.5,6.0,6.0,5.5,0.0,5.5
7,34,1,22.5,11.5,11.0,11.0,6.5,0.0,6.5
8,97,1,27.5,17.5,10.0,10.0,8.5,0.0,8.5
9,98,2,31.5,16.5,15.0,15.0,3.5,0.0,3.5
10,37,36,32.5,24.5,8.0,8.0,7.5,0.0,7.5
11,98,2,43.5,28.5,15.0,15.0,7.5,0.0,7.5
14,37,97,45.5,40.5,5.0,5.0,7.5,0.0,7.5
12,35,1,46.5,34.5,12.0,12.0,9.5,0.0,9.5
13,97,1,55.5,41.5,14.0,10.0,12.5,4.0,16.5
15,34,1,58.5,45.5,13.0,11.0,8.5,2.0,10.5
17,36,2,64.5,50.5,14.0,14.0,5.5,0.0,5.5
16,35,2,67.5,54.5,13.0,13.0,13.5,0.0,13.5
18,34,2,71.5,59.5,12.0,12.0,10.5,0.0,10.5
20,38,98,76.5,68.5,8.0,8.0,11.5,0.0,11.5
19,97,2,80.5,69.5,11.0,11.0,16.5,0.0,16.5
21,37,34,80.5,74.5,6.0,6.0,13.5,0.0,13.5
22,35,2,91.5,78.5,13.0,13.0,13.5,0.0,13.5
24,38,36,91.5,84.5,7.0,7.0,11.5,0.0,11.5
23,36,2,98.0,81.5,16.5,14.0,12.5,2.5,15.0
26,37,98,99.5,90.5,9.0,9.0,9.5,0.0,9.5
25,98,1,100.0,85.5,14.5,14.0,8.5,0.5,9.0
