agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,97,12.5,7.5,5.0,5.0,6.5,0.0,6.5
7,38,36,18.5,11.5,7.0,7.0,6.5,0.0,6.5
8,37,98,26.0,17.0,9.0,9.0,8.0,0.0,8.0
9,38,98,32.0,18.5,13.5,8.0,5.5,5.5,11.0
10,97,1,34.5,24.5,10.0,10.0,7.5,0.0,7.5
11,36,2,38.0,23.5,14.5,14.0,2.5,0.5,3.0
13,38,34,40.5,35.5,5.0,5.0,6.5,0.0,6.5
12,35,2,47.5,34.5,13.0,13.0,9.5,0.0,9.5
14,97,1,48.0,38.0,10.0,10.0,5.0,0.0,5.0
16,97,1,53.5,43.5,10.0,10.0,2.5,0.0,2.5
15,36,1,58.5,45.5,13.0,13.0,8.5,0.0,8.5
18,37,34,63.5,57.5,6.0,6.0,8.5,0.0,8.5
19,38,36,67.0,60.0,7.0,7.0,7.0,0.0,7.0
17,35,1,67.5,53.5,14.0,12.0,8.5,2.0,10.5
21,37,98,78.5,69.5,9.0,9.0,4.5,0.0,4.5
20,98,1,81.5,65.5,16.0,14.0,4.5,2.0,6.5
22,38,97,82.0,76.0,6.0,6.0,7.0,0.0,7.0
23,35,2,91.5,78.5,13.0,13.0,5.5,0.0,5.5
26,37,97,92.0,87.0,5.0,5.0,2.0,0.0,2.0
25,38,35,92.5,86.5,6.0,6.0,5.5,0.0,5.5
24,36,2,98.5,84.5,14.0,14.0,7.5,0.0,7.5
