agent_id,start,goal,arrival_time,departure_time,waiting_time,taxi_time,optimal taxi_time
6,97,1,0,0,8.0,0,0
7,35,2,0,0,7.0,0,0
8,34,2,0,0,9.0,0,0
9,35,1,0,0,9.0,0,0
10,98,2,0,0,8.0,0,0
