agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
5,38,35,12.5,6.5,6.0,6.0,5.5,0.0,5.5
6,98,1,22.0,8.0,14.0,14.0,3.5,0.0,3.5
8,37,35,26.0,19.0,7.0,7.0,7.5,0.0,7.5
7,36,2,29.5,13.5,16.0,14.0,5.5,2.0,7.5
9,98,2,34.5,19.5,15.0,15.0,4.5,0.0,4.5
11,38,34,37.0,32.0,5.0,5.0,10.0,0.0,10.0
10,97,1,46.0,36.0,10.0,10.0,17.5,0.0,17.5
14,38,34,47.0,42.0,5.0,5.0,9.5,0.0,9.5
13,37,98,53.5,44.5,9.0,9.0,15.5,0.0,15.5
12,98,1,54.5,38.5,16.0,14.0,13.0,2.0,15.0
16,36,1,64.0,51.0,13.0,13.0,8.0,0.0,8.0
17,97,2,70.5,59.5,11.0,11.0,13.0,0.0,13.0
18,37,97,70.5,65.5,5.0,5.0,15.5,0.0,15.5
15,35,2,73.0,58.0,15.0,13.0,18.5,2.0,20.5
20,36,1,88.5,75.5,13.0,13.0,18.5,0.0,18.5
19,98,2,89.0,74.0,15.0,15.0,20.5,0.0,20.5
22,38,98,90.0,82.0,8.0,8.0,18.0,0.0,18.0
21,34,1,93.5,82.5,11.0,11.0,22.0,0.0,22.0
23,37,34,105.5,99.5,6.0,6.0,32.0,0.0,32.0
25,97,2,107.0,96.0,11.0,11.0,21.5,0.0,21.5
24,35,2,113.0,100.0,13.0,13.0,29.0,0.0,29.0
27,38,97,116.5,110.5,6.0,6.0,25.5,0.0,25.5
26,36,2,118.5,104.5,14.0,14.0,23.0,0.0,23.0
29,37,97,128.0,123.0,5.0,5.0,20.5,0.0,20.5
28,98,1,130.5,116.0,14.5,14.0,24.0,0.5,24.5
