agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
5,37,98,20.5,11.5,9.0,9.0,6.5,0.0,6.5
4,35,1,21.5,6.5,15.0,12.0,5.5,3.0,8.5
6,38,36,22.5,15.5,7.0,7.0,6.5,0.0,6.5
7,37,36,37.5,29.5,8.0,8.0,16.5,0.0,16.5
9,97,2,38.5,27.5,11.0,11.0,6.5,0.0,6.5
8,38,36,40.5,31.5,9.0,7.0,14.5,2.0,16.5
12,37,97,53.5,48.5,5.0,5.0,15.5,0.0,15.5
10,98,1,54.5,40.5,14.0,14.0,15.5,0.0,15.5
11,35,1,61.5,49.5,12.0,12.0,20.5,0.0,20.5
13,38,97,65.5,59.5,6.0,6.0,22.5,0.0,22.5
14,98,1,78.5,64.5,14.0,14.0,23.5,0.0,23.5
16,35,1,81.5,69.5,12.0,12.0,16.5,0.0,16.5
15,34,1,85.5,74.5,11.0,11.0,25.5,0.0,25.5
18,38,34,96.5,91.5,5.0,5.0,30.5,0.0,30.5
17,36,2,103.5,89.5,14.0,14.0,32.5,0.0,32.5
20,97,1,109.5,99.5,10.0,10.0,30.5,0.0,30.5
19,98,2,111.0,95.5,15.5,15.0,30.5,0.5,31.0
21,35,1,126.5,114.5,12.0,12.0,41.5,0.0,41.5
22,37,35,127.5,120.5,7.0,7.0,43.5,0.0,43.5
10,36,1,51.5,38.5,13.0,13.0,13.5,0.0,13.5
11,97,2,67.5,56.5,11.0,11.0,27.5,0.0,27.5
12,35,1,69.0,57.0,12.0,12.0,24.0,0.0,24.0
13,34,2,76.5,64.5,12.0,12.0,27.5,0.0,27.5
14,36,1,90.5,77.5,13.0,13.0,36.5,0.0,36.5
16,38,35,91.5,85.5,6.0,6.0,32.5,0.0,32.5
