agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,97,1,18.5,8.5,10.0,10.0,7.5,0.0,7.5
8,38,97,22.5,16.5,6.0,6.0,5.5,0.0,5.5
7,35,2,27.0,12.5,14.5,13.0,6.5,1.5,8.0
9,37,98,32.5,23.5,9.0,9.0,7.5,0.0,7.5
10,38,35,34.5,28.5,6.0,6.0,7.5,0.0,7.5
12,37,97,41.0,36.0,5.0,5.0,5.0,0.0,5.0
11,36,1,44.0,31.0,13.0,13.0,5.0,0.0,5.0
13,34,2,50.5,38.5,12.0,12.0,2.5,0.0,2.5
14,37,36,56.5,48.5,8.0,8.0,7.5,0.0,7.5
15,97,1,60.0,50.0,10.0,10.0,4.0,0.0,4.0
16,38,36,63.0,56.0,7.0,7.0,5.0,0.0,5.0
17,97,1,74.5,64.5,10.0,10.0,8.5,0.0,8.5
18,37,98,75.5,66.5,9.0,9.0,5.5,0.0,5.5
19,35,1,82.0,70.0,12.0,12.0,4.0,0.0,4.0
20,38,35,82.5,76.5,6.0,6.0,5.5,0.0,5.5
21,37,35,91.5,84.5,7.0,7.0,8.5,0.0,8.5
23,37,98,99.0,90.0,9.0,9.0,4.0,0.0,4.0
22,97,2,100.0,89.0,11.0,11.0,8.0,0.0,8.0
25,38,98,106.5,98.5,8.0,8.0,2.5,0.0,2.5
24,97,1,108.0,98.0,10.0,10.0,7.0,0.0,7.0
26,36,1,117.0,104.0,13.0,13.0,3.0,0.0,3.0
27,37,35,120.5,113.5,7.0,7.0,7.5,0.0,7.5
28,38,35,123.5,115.5,8.0,6.0,4.5,2.0,6.5
29,97,2,133.0,122.0,11.0,11.0,6.0,0.0,6.0
30,36,2,137.5,123.5,14.0,14.0,2.5,0.0,2.5
31,34,2,141.5,129.5,12.0,12.0,3.5,0.0,3.5
