agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,36,15.5,7.5,8.0,8.0,6.5,0.0,6.5
7,38,36,20.5,11.5,9.0,7.0,6.5,2.0,8.5
8,35,1,26.5,14.5,12.0,12.0,5.5,0.0,5.5
10,34,2,32.5,20.5,12.0,12.0,3.5,0.0,3.5
9,97,2,35.0,22.0,13.0,11.0,9.0,2.0,11.0
11,38,98,35.5,27.5,8.0,8.0,6.5,0.0,6.5
12,35,2,47.5,34.5,13.0,13.0,9.5,0.0,9.5
14,37,35,49.5,42.5,7.0,7.0,9.5,0.0,9.5
16,38,97,52.0,46.0,6.0,6.0,5.0,0.0,5.0
13,36,2,53.5,37.5,16.0,14.0,8.5,2.0,10.5
15,34,2,56.0,42.0,14.0,12.0,5.0,2.0,7.0
18,38,35,61.5,55.5,6.0,6.0,6.5,0.0,6.5
19,97,2,65.0,54.0,11.0,11.0,1.0,0.0,1.0
17,36,1,70.5,57.5,13.0,13.0,12.5,0.0,12.5
21,38,35,73.0,67.0,6.0,6.0,6.0,0.0,6.0
22,37,36,76.5,68.5,8.0,8.0,3.5,0.0,3.5
20,98,1,78.0,62.5,15.5,14.0,5.5,1.5,7.0
23,38,97,82.0,76.0,6.0,6.0,7.0,0.0,7.0
25,37,36,89.0,81.0,8.0,8.0,4.0,0.0,4.0
26,38,98,92.5,84.5,8.0,8.0,3.5,0.0,3.5
24,34,1,94.5,83.5,11.0,11.0,10.5,0.0,10.5
