agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,36,2,19.5,5.5,14.0,14.0,4.5,0.0,4.5
8,37,36,23.5,15.5,8.0,8.0,6.5,0.0,6.5
7,34,2,25.5,12.5,13.0,12.0,7.5,1.0,8.5
10,37,36,33.5,25.5,8.0,8.0,8.5,0.0,8.5
9,34,2,35.5,22.5,13.0,12.0,9.5,1.0,10.5
12,98,1,41.5,27.5,14.0,14.0,2.5,0.0,2.5
11,35,2,43.5,30.5,13.0,13.0,9.5,0.0,9.5
14,38,34,45.5,40.5,5.0,5.0,7.5,0.0,7.5
13,98,2,50.5,35.5,15.0,15.0,6.5,0.0,6.5
16,37,97,57.5,52.5,5.0,5.0,11.5,0.0,11.5
15,36,2,59.5,45.5,14.0,14.0,8.5,0.0,8.5
19,38,34,64.5,59.5,5.0,5.0,6.5,0.0,6.5
17,35,1,66.5,54.5,12.0,12.0,9.5,0.0,9.5
20,37,97,67.5,62.5,5.0,5.0,5.5,0.0,5.5
18,98,1,69.0,55.0,14.0,14.0,6.0,0.0,6.0
22,37,35,77.5,70.5,7.0,7.0,5.5,0.0,5.5
23,38,98,82.5,74.5,8.0,8.0,5.5,0.0,5.5
21,35,2,84.0,70.5,13.5,13.0,9.5,0.5,10.0
24,97,1,90.5,80.5,10.0,10.0,7.5,0.0,7.5
26,37,35,92.5,85.5,7.0,7.0,4.5,0.0,4.5
25,36,2,99.5,85.5,14.0,14.0,8.5,0.0,8.5
