agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,34,1,18.5,7.5,11.0,11.0,6.5,0.0,6.5
7,97,1,23.5,13.5,10.0,10.0,8.5,0.0,8.5
9,38,36,26.5,19.5,7.0,7.0,6.5,0.0,6.5
8,34,2,29.5,17.5,12.0,12.0,8.5,0.0,8.5
10,37,36,33.5,25.5,8.0,8.0,8.5,0.0,8.5
11,38,35,35.0,29.0,6.0,6.0,8.0,0.0,8.0
12,34,1,47.5,36.5,11.0,11.0,11.5,0.0,11.5
13,98,2,47.5,32.5,15.0,15.0,3.5,0.0,3.5
15,97,1,51.0,41.0,10.0,10.0,4.0,0.0,4.0
14,98,1,53.5,39.5,14.0,14.0,6.5,0.0,6.5
16,38,97,53.5,47.5,6.0,6.0,6.5,0.0,6.5
20,37,34,64.5,58.5,6.0,6.0,1.5,0.0,1.5
19,38,35,67.0,61.0,6.0,6.0,8.0,0.0,8.0
18,35,1,71.5,59.5,12.0,12.0,10.5,0.0,10.5
17,36,2,73.0,57.5,15.5,14.0,12.5,1.5,14.0
22,38,36,76.5,69.5,7.0,7.0,4.5,0.0,4.5
23,37,97,79.0,74.0,5.0,5.0,5.0,0.0,5.0
21,98,2,83.5,67.0,16.5,15.0,6.0,1.5,7.5
26,38,36,92.0,85.0,7.0,7.0,4.0,0.0,4.0
25,98,1,95.5,79.5,16.0,14.0,2.5,2.0,4.5
24,35,1,98.0,83.5,14.5,12.0,10.5,2.5,13.0
