agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,97,12.5,7.5,5.0,5.0,6.5,0.0,6.5
7,34,1,22.5,11.5,11.0,11.0,6.5,0.0,6.5
8,35,2,28.5,15.5,13.0,13.0,6.5,0.0,6.5
10,38,97,29.5,23.5,6.0,6.0,6.5,0.0,6.5
9,98,2,33.5,18.5,15.0,15.0,5.5,0.0,5.5
14,38,34,40.5,35.5,5.0,5.0,2.5,0.0,2.5
11,35,1,42.5,30.5,12.0,12.0,9.5,0.0,9.5
12,98,2,47.5,32.5,15.0,15.0,7.5,0.0,7.5
13,36,1,52.0,38.5,13.5,13.0,9.5,0.5,10.0
16,37,35,53.5,46.5,7.0,7.0,5.5,0.0,5.5
15,98,2,59.0,43.5,15.5,15.0,6.5,0.5,7.0
18,38,36,63.5,56.5,7.0,7.0,7.5,0.0,7.5
17,36,2,69.0,53.5,15.5,14.0,8.5,1.5,10.0
20,34,1,72.5,61.5,11.0,11.0,4.5,0.0,4.5
19,37,98,73.5,64.5,9.0,9.0,11.5,0.0,11.5
22,35,2,80.5,67.5,13.0,13.0,2.5,0.0,2.5
21,97,1,82.0,72.0,10.0,10.0,11.0,0.0,11.0
23,38,97,84.0,78.0,6.0,6.0,9.0,0.0,9.0
25,37,97,88.5,83.5,5.0,5.0,6.5,0.0,6.5
24,36,1,96.5,83.5,13.0,13.0,10.5,0.0,10.5
27,36,2,103.0,89.0,14.0,14.0,4.0,0.0,4.0
