agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,36,1,18.5,5.5,13.0,13.0,4.5,0.0,4.5
8,38,35,20.5,14.5,6.0,6.0,5.5,0.0,5.5
7,98,2,28.0,9.5,18.5,15.0,4.5,3.5,8.0
9,37,98,29.5,20.5,9.0,9.0,7.5,0.0,7.5
11,34,1,34.5,23.5,11.0,11.0,2.5,0.0,2.5
12,38,98,37.5,29.5,8.0,8.0,4.5,0.0,4.5
10,97,1,38.5,28.5,10.0,10.0,11.5,0.0,11.5
14,38,97,44.5,38.5,6.0,6.0,5.5,0.0,5.5
13,35,2,53.5,40.5,13.0,13.0,11.5,0.0,11.5
17,37,34,55.5,49.5,6.0,6.0,4.5,0.0,4.5
15,34,1,58.5,47.5,11.0,11.0,10.5,0.0,10.5
16,35,2,63.5,50.5,13.0,13.0,9.5,0.0,9.5
18,36,1,66.5,53.5,13.0,13.0,4.5,0.0,4.5
19,37,98,72.5,63.5,9.0,9.0,10.5,0.0,10.5
20,35,2,74.5,59.5,15.0,13.0,2.5,2.0,4.5
21,38,98,76.5,68.5,8.0,8.0,7.5,0.0,7.5
24,37,97,86.5,81.5,5.0,5.0,8.5,0.0,8.5
22,34,2,87.5,75.5,12.0,12.0,10.5,0.0,10.5
25,38,36,90.5,83.5,7.0,7.0,6.5,0.0,6.5
23,36,1,91.0,78.0,13.0,13.0,9.0,0.0,9.0
26,34,1,100.5,89.5,11.0,11.0,8.5,0.0,8.5
