agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,98,14.5,6.5,8.0,8.0,5.5,0.0,5.5
7,97,1,22.5,12.5,10.0,10.0,7.5,0.0,7.5
8,37,34,22.5,16.5,6.0,6.0,7.5,0.0,7.5
10,38,35,28.5,22.5,6.0,6.0,5.5,0.0,5.5
9,35,2,33.5,19.5,14.0,13.0,6.5,1.0,7.5
12,38,97,33.5,27.5,6.0,6.0,2.5,0.0,2.5
11,37,98,38.5,29.5,9.0,9.0,8.5,0.0,8.5
13,34,2,43.5,31.5,12.0,12.0,2.5,0.0,2.5
15,38,35,45.5,39.5,6.0,6.0,2.5,0.0,2.5
14,36,1,50.5,37.5,13.0,13.0,4.5,0.0,4.5
16,38,98,54.5,46.5,8.0,8.0,5.5,0.0,5.5
19,38,34,63.5,58.5,5.0,5.0,5.5,0.0,5.5
17,97,2,64.5,53.5,11.0,11.0,8.5,0.0,8.5
18,36,1,64.5,51.5,13.0,13.0,2.5,0.0,2.5
20,37,36,71.0,62.5,8.5,8.0,5.5,0.5,6.0
22,37,98,78.5,69.5,9.0,9.0,4.5,0.0,4.5
21,35,1,81.5,69.5,12.0,12.0,8.5,0.0,8.5
24,38,34,83.0,78.0,5.0,5.0,5.0,0.0,5.0
25,37,97,89.5,84.5,5.0,5.0,7.5,0.0,7.5
23,97,2,90.5,79.5,11.0,11.0,10.5,0.0,10.5
26,38,35,92.5,86.5,6.0,6.0,5.5,0.0,5.5
