agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,98,14.5,6.5,8.0,8.0,5.5,0.0,5.5
8,37,34,22.5,16.5,6.0,6.0,7.5,0.0,7.5
7,36,2,23.5,9.5,14.0,14.0,4.5,0.0,4.5
9,36,1,31.5,18.5,13.0,13.0,5.5,0.0,5.5
10,37,98,32.5,23.5,9.0,9.0,6.5,0.0,6.5
11,38,34,33.5,28.5,5.0,5.0,7.5,0.0,7.5
12,37,35,35.5,28.5,7.0,7.0,3.5,0.0,3.5
13,36,2,48.5,34.5,14.0,14.0,5.5,0.0,5.5
14,37,36,49.5,41.5,8.0,8.0,8.5,0.0,8.5
15,35,2,53.0,38.5,14.5,13.0,1.5,1.5,3.0
17,38,35,58.0,52.0,6.0,6.0,7.0,0.0,7.0
16,98,2,60.5,45.5,15.0,15.0,4.5,0.0,4.5
19,38,97,63.5,57.5,6.0,6.0,4.5,0.0,4.5
18,37,35,67.0,60.0,7.0,7.0,11.0,0.0,11.0
21,37,36,73.0,65.0,8.0,8.0,4.0,0.0,4.0
20,36,1,78.0,65.0,13.0,13.0,8.0,0.0,8.0
22,34,1,80.5,67.5,13.0,11.0,2.5,2.0,4.5
23,37,98,83.0,74.0,9.0,9.0,5.0,0.0,5.0
25,37,98,93.0,84.0,9.0,9.0,7.0,0.0,7.0
24,36,2,94.5,78.5,16.0,14.0,5.5,2.0,7.5
26,38,98,96.0,88.0,8.0,8.0,7.0,0.0,7.0
